"","V1","V2","V3","V4"
"159",-1.06858,0.501564,-1.34989,-0.503288
"160",2.09271,-1.33543,1.32768,0.253959
"161",1.35399,2.23442,-0.318612,0.208145
"162",1.25829,1.27397,0.242183,0.986909
"163",-0.65261,0.102812,0.500106,-1.51662
"164",2.12482,-0.18189,-0.172835,0.393981
"165",3.37721,0.428231,0.954562,1.09223
"166",-1.14484,-0.448002,0.075106,0.924356
"167",-0.710483,0.961819,-0.580709,0.422935
"168",0.227582,1.04248,-0.827047,-1.90835
"169",-0.489143,-0.327443,-0.12879,-0.742698
"170",-0.261556,-1.05125,-0.769739,0.172946
"171",0.120691,2.07083,-1.60922,-0.830146
"172",0.688154,1.42101,0.0236851,-0.825295
"173",1.3071,0.22061,-1.21633,-1.28457
"174",-1.42663,-0.320105,-0.608803,1.15902
"175",-0.514041,-0.111426,-1.16815,0.312727
"176",0.57304,1.04271,0.153826,0.3246
"177",-0.133555,-0.217117,-0.0917765,0.00373565
"178",-0.802987,-1.17013,-1.4041,-3.13159
"179",-1.71206,-1.16287,-0.425064,0.0710572
"180",1.01125,-1.42278,0.123067,-0.190189
"181",1.14924,-0.115914,1.64062,1.11457
"182",0.389901,-0.762924,0.574505,0.752476
"183",1.03946,-1.00467,-0.862053,2.22858
"184",-0.850993,1.98194,0.292942,0.262058
"185",-0.476824,-1.38993,-0.434623,-4.4457
"186",0.397995,0.999057,-0.274258,0.163341
"187",0.415005,0.460831,0.0744274,-1.54479
"188",-1.07571,-0.977281,-0.924604,0.393096
"189",-0.812138,-1.52127,1.13605,-0.924896
